Metric,Scenario,Simulation Number,Timestep Number,Value
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,3,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,3,0.4791857040118241
Total NPL balance,miningSiteExplorationProbability_0.1,0,3,1.6666666666666667
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,3,0.051600031281993586
Total consumption budget,miningSiteExplorationProbability_0.1,0,4,4.925248475175428
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,4,0.07996311822740793
Final good output,miningSiteExplorationProbability_0.1,0,4,26.2
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,4,0.22137404580152673
Final good capital productivity,miningSiteExplorationProbability_0.1,0,4,2.019260963528399
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,4,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,4,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,4,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,4,0.04266917408799791
Material price,miningSiteExplorationProbability_0.1,0,4,0.06325554525884027
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,4,0.034373913852945547
Total ore reserves,miningSiteExplorationProbability_0.1,0,4,14500.190719204105
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,4,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,4,1.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,4,1.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,4,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,4,0.1680721530869263
Total NPL balance,miningSiteExplorationProbability_0.1,0,4,1.6711474839767204
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,4,0.05101687096438214
Total consumption budget,miningSiteExplorationProbability_0.1,0,5,4.759472261347954
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,5,0.09158911813625026
Final good output,miningSiteExplorationProbability_0.1,0,5,26.2
