Metric,Scenario,Simulation Number,Timestep Number,Value
Total consumption budget,miningSiteExplorationProbability_0.25,0,0,0.10000000000000007
Weighted average sell price of final good,miningSiteExplorationProbability_0.25,0,0,1.0
Final good output,miningSiteExplorationProbability_0.25,0,0,0.0
Renewable Energy market share,miningSiteExplorationProbability_0.25,0,0,0.1443850267379679
Final good capital productivity,miningSiteExplorationProbability_0.25,0,0,2.0
Renewable Energy capital productivity,miningSiteExplorationProbability_0.25,0,0,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.25,0,0,2.0
Material capital productivity,miningSiteExplorationProbability_0.25,0,0,2.0
Electricity price,miningSiteExplorationProbability_0.25,0,0,0.3
Material price,miningSiteExplorationProbability_0.25,0,0,0.015
Average ore extraction cost,miningSiteExplorationProbability_0.25,0,0,0.001545258763595483
Total ore reserves,miningSiteExplorationProbability_0.25,0,0,14923.887719695193
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.25,0,0,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.25,0,0,0.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.25,0,0,0.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.25,0,0,0.0
Total household dividend income,miningSiteExplorationProbability_0.25,0,0,0.069709102301698
Total NPL balance,miningSiteExplorationProbability_0.25,0,0,0.0
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.25,0,0,0.06410385428197646
Total consumption budget,miningSiteExplorationProbability_0.25,0,1,3.3938446884500753
Weighted average sell price of final good,miningSiteExplorationProbability_0.25,0,1,1.0
Final good output,miningSiteExplorationProbability_0.25,0,1,18.000000000000004
Renewable Energy market share,miningSiteExplorationProbability_0.25,0,1,0.14594594594594595
Final good capital productivity,miningSiteExplorationProbability_0.25,0,1,2.0
Renewable Energy capital productivity,miningSiteExplorationProbability_0.25,0,1,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.25,0,1,2.0
Material capital productivity,miningSiteExplorationProbability_0.25,0,1,2.0
Electricity price,miningSiteExplorationProbability_0.25,0,1,0.04268333333333333
Material price,miningSiteExplorationProbability_0.25,0,1,0.037274121329415245
Average ore extraction cost,miningSiteExplorationProbability_0.25,0,1,0.0015677705719362987
Total ore reserves,miningSiteExplorationProbability_0.25,0,1,14919.640553698167
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.25,0,1,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.25,0,1,0.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.25,0,1,0.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.25,0,1,0.0
Total household dividend income,miningSiteExplorationProbability_0.25,0,1,0.06244210107973978
Total NPL balance,miningSiteExplorationProbability_0.25,0,1,0.0
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.25,0,1,0.05390653286690877
Total consumption budget,miningSiteExplorationProbability_0.25,0,2,3.745541592030381
Weighted average sell price of final good,miningSiteExplorationProbability_0.25,0,2,0.08635916666666667
Final good output,miningSiteExplorationProbability_0.25,0,2,23.533333333333335
Renewable Energy market share,miningSiteExplorationProbability_0.25,0,2,0.1467391304347826
Final good capital productivity,miningSiteExplorationProbability_0.25,0,2,2.0
Renewable Energy capital productivity,miningSiteExplorationProbability_0.25,0,2,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.25,0,2,2.0
Material capital productivity,miningSiteExplorationProbability_0.25,0,2,2.0
Electricity price,miningSiteExplorationProbability_0.25,0,2,0.042511563111522176
Material price,miningSiteExplorationProbability_0.25,0,2,0.04168570148382517
Average ore extraction cost,miningSiteExplorationProbability_0.25,0,2,0.0016186258304523857
Total ore reserves,miningSiteExplorationProbability_0.25,0,2,14910.689981377513
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.25,0,2,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.25,0,2,0.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.25,0,2,0.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.25,0,2,0.0
Total household dividend income,miningSiteExplorationProbability_0.25,0,2,0.09936103619662716
Total NPL balance,miningSiteExplorationProbability_0.25,0,2,0.0
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.25,0,2,0.052819467253847986
Total consumption budget,miningSiteExplorationProbability_0.25,0,3,4.142438555415674
Weighted average sell price of final good,miningSiteExplorationProbability_0.25,0,3,0.06909703407360515
Final good output,miningSiteExplorationProbability_0.25,0,3,24.533333333333335
Renewable Energy market share,miningSiteExplorationProbability_0.25,0,3,0.1467391304347826
